2024-01-02 09:28:13,066 list_server [INFO] Start Server 'start_server'
2024-01-02 10:13:10,545 list_server [INFO] Close : ('127.0.0.1', 39006) 'handle_client'
2024-01-02 10:13:11,265 list_server [INFO] Connect : ('127.0.0.1', 39018) 'handle_client'
2024-01-02 10:13:11,266 list_server [INFO] Close : ('127.0.0.1', 39018) 'handle_client'
2024-01-02 10:13:11,436 list_server [INFO] Connect : ('127.0.0.1', 39032) 'handle_client'
2024-01-02 10:13:11,436 list_server [INFO] Close : ('127.0.0.1', 39032) 'handle_client'
2024-01-02 10:13:11,614 list_server [INFO] Connect : ('127.0.0.1', 39036) 'handle_client'
2024-01-02 10:13:11,614 list_server [INFO] Close : ('127.0.0.1', 39036) 'handle_client'
2024-01-02 10:13:11,755 list_server [INFO] Connect : ('127.0.0.1', 39044) 'handle_client'
2024-01-02 10:13:11,755 list_server [INFO] Close : ('127.0.0.1', 39044) 'handle_client'
2024-01-02 10:14:32,484 list_server [INFO] Connect : ('127.0.0.1', 57054) 'handle_client'
2024-01-02 10:14:32,485 list_server [INFO] Close : ('127.0.0.1', 57054) 'handle_client'
2024-01-02 10:14:33,775 list_server [INFO] Connect : ('127.0.0.1', 57070) 'handle_client'
2024-01-02 10:14:33,776 list_server [INFO] Close : ('127.0.0.1', 57070) 'handle_client'
2024-01-02 10:15:08,020 list_server [INFO] Connect : ('127.0.0.1', 39048) 'handle_client'
2024-01-02 10:15:08,020 list_server [INFO] Receive : ('127.0.0.1', 39048) 'handle_client'
2024-01-02 10:15:08,021 list_server [INFO] Send : ('127.0.0.1', 39048) 'handle_client'
2024-01-02 10:15:08,023 list_server [INFO] Send : ('127.0.0.1', 39048) 'handle_client'
2024-01-02 10:15:08,024 list_server [INFO] Close : ('127.0.0.1', 39048) 'handle_client'
2024-01-02 10:15:09,293 list_server [INFO] Connect : ('127.0.0.1', 44160) 'handle_client'
2024-01-02 10:15:09,294 list_server [INFO] Receive : ('127.0.0.1', 44160) 'handle_client'
2024-01-02 10:15:09,294 list_server [INFO] Send : ('127.0.0.1', 44160) 'handle_client'
2024-01-02 10:15:09,295 list_server [INFO] Send : ('127.0.0.1', 44160) 'handle_client'
2024-01-02 10:15:09,295 list_server [INFO] Close : ('127.0.0.1', 44160) 'handle_client'
2024-01-02 10:15:09,752 list_server [INFO] Connect : ('127.0.0.1', 44174) 'handle_client'
2024-01-02 10:15:09,752 list_server [INFO] Receive : ('127.0.0.1', 44174) 'handle_client'
2024-01-02 10:15:09,753 list_server [INFO] Send : ('127.0.0.1', 44174) 'handle_client'
2024-01-02 10:15:09,754 list_server [INFO] Send : ('127.0.0.1', 44174) 'handle_client'
2024-01-02 10:15:09,754 list_server [INFO] Close : ('127.0.0.1', 44174) 'handle_client'
2024-01-02 10:15:09,932 list_server [INFO] Connect : ('127.0.0.1', 44186) 'handle_client'
2024-01-02 10:15:09,932 list_server [INFO] Receive : ('127.0.0.1', 44186) 'handle_client'
2024-01-02 10:15:09,933 list_server [INFO] Send : ('127.0.0.1', 44186) 'handle_client'
2024-01-02 10:15:09,934 list_server [INFO] Send : ('127.0.0.1', 44186) 'handle_client'
2024-01-02 10:15:09,934 list_server [INFO] Close : ('127.0.0.1', 44186) 'handle_client'
2024-01-02 10:15:10,102 list_server [INFO] Connect : ('127.0.0.1', 44192) 'handle_client'
2024-01-02 10:15:10,102 list_server [INFO] Receive : ('127.0.0.1', 44192) 'handle_client'
2024-01-02 10:15:10,103 list_server [INFO] Send : ('127.0.0.1', 44192) 'handle_client'
2024-01-02 10:15:10,104 list_server [INFO] Send : ('127.0.0.1', 44192) 'handle_client'
2024-01-02 10:15:10,104 list_server [INFO] Close : ('127.0.0.1', 44192) 'handle_client'
2024-01-02 10:15:10,284 list_server [INFO] Connect : ('127.0.0.1', 44208) 'handle_client'
2024-01-02 10:15:10,285 list_server [INFO] Receive : ('127.0.0.1', 44208) 'handle_client'
2024-01-02 10:15:10,285 list_server [INFO] Send : ('127.0.0.1', 44208) 'handle_client'
2024-01-02 10:15:10,286 list_server [INFO] Send : ('127.0.0.1', 44208) 'handle_client'
2024-01-02 10:15:10,286 list_server [INFO] Close : ('127.0.0.1', 44208) 'handle_client'
2024-01-02 10:15:10,454 list_server [INFO] Connect : ('127.0.0.1', 44214) 'handle_client'
2024-01-02 10:15:10,455 list_server [INFO] Receive : ('127.0.0.1', 44214) 'handle_client'
2024-01-02 10:15:10,455 list_server [INFO] Send : ('127.0.0.1', 44214) 'handle_client'
2024-01-02 10:15:10,456 list_server [INFO] Send : ('127.0.0.1', 44214) 'handle_client'
2024-01-02 10:15:10,456 list_server [INFO] Close : ('127.0.0.1', 44214) 'handle_client'
2024-01-02 10:15:11,557 list_server [INFO] Connect : ('127.0.0.1', 44220) 'handle_client'
2024-01-02 10:15:11,557 list_server [INFO] Receive : ('127.0.0.1', 44220) 'handle_client'
2024-01-02 10:15:11,558 list_server [INFO] Send : ('127.0.0.1', 44220) 'handle_client'
2024-01-02 10:15:11,559 list_server [INFO] Send : ('127.0.0.1', 44220) 'handle_client'
